[Prenom]	Nom
Algernon	Lebrun
Amorette	Migneault
Annette	Chalifour
Arienne	Austin
Arthur	Gaulin
Aubert	Chaloux
Aubrey	Vaillancourt
Aubrey	Brisette
Avent	Beaudouin
Bernadette	Lacroix
Brigitte	Ayot
Brigliador	Dastous
Burnell	Brousseau
Caroline	Chatigny
Charlotte	Bazin
Charmaine	Lussier
Christelle	Daoust
Christian	Faubert
Constance	LaGrande
Daniel	Turgeon
David	Fontaine
Delphine	Gour
Demi	Tremblay
Donatien	Labrosse
Dorene	Allain
Fortun	Bordeleau
Gallia	Charrette
Gauthier	Asselin
Gilles	Landry
Huon	Corbeil
Isaac	Marceau
Isaac	Dupuis
Isabelle	Denis
Jeanne	L'Angelier
Joanna	Duranseau
Josephe	Dufresne
Juliette	Rancourt
Madeleine	Louis
Marguerite	Metivier
Mariette	Pitre
Melusina	Duffet
Millard	Laforge
Nanna	Houle
Natalie	Guernon
Olivie	Parmentier
Olympia	Sicard
Pascal	de Launay
Pierrette	Croquetaigne
Prewitt	Boulanger
Quennel	Bergeron
Rachelle	Labrosse
Raison	Audet
Roch	Gougeon
Roch	Rochon
Talbot	Morin
Verney	Labrecque
Vivienne	Chartier
Warrane	Couturier
Yvette	Voisine
